PassengerId,Survived,HighClassTicket,IsOld,hasLargeFamily,isSingle,hadNiceCabin,isAristocrat,Fare,Sex
128,1,0,0,0,1,0,0,7.1417,male
1037,0,0,0,0,0,0,0,18.0,male
633,1,1,0,0,1,1,0,30.5,male
1051,1,0,0,0,0,0,0,13.775,female
727,1,1,0,0,0,0,0,21.0,female
1056,0,1,0,0,1,0,0,13.0,male
833,0,0,0,0,1,0,0,7.2292,male
477,0,1,0,0,0,0,0,21.0,male
1018,0,0,1,0,1,0,0,7.7958,male
688,0,0,1,0,1,0,0,10.1708,male
862,0,1,1,0,0,0,0,11.5,male
62,1,1,0,0,1,1,0,80.0,female
1246,1,0,1,0,0,0,0,20.575,female
863,1,1,0,0,1,1,0,25.9292,female
712,0,1,0,0,1,1,0,26.55,male
1303,1,1,0,0,0,1,0,90.0,female
685,0,1,0,0,0,0,0,39.0,male
454,1,1,0,0,0,1,0,89.1042,male
933,0,1,0,0,1,1,0,26.55,male
97,0,1,0,0,1,0,0,34.6542,male
711,1,1,0,0,1,1,0,49.5042,female
472,0,0,0,0,1,0,0,8.6625,male
196,1,1,0,0,1,1,0,146.5208,female
95,0,0,0,0,1,0,0,7.25,male
351,0,0,0,0,1,0,0,9.225,male
1023,0,1,0,0,1,1,0,28.5,male
467,0,1,0,0,1,0,0,0.0,male
644,1,0,0,0,1,0,0,56.4958,male
778,1,0,1,0,1,0,0,12.475,female
735,0,1,0,0,1,0,0,13.0,male
716,0,0,1,0,1,1,0,7.65,male
597,1,1,1,0,1,0,0,33.0,female
1269,0,1,1,0,1,0,0,11.5,male
1217,0,0,0,0,1,0,0,7.05,male
1000,0,0,0,0,1,0,0,8.7125,male
961,1,1,0,1,0,1,0,263.0,female
237,0,1,0,0,0,0,0,26.0,male
828,1,1,1,0,0,0,1,37.0042,male
854,1,1,1,0,0,1,0,39.4,female
566,0,0,0,0,0,0,0,24.15,male
1096,0,1,0,0,1,0,0,10.5,male
87,0,0,1,0,0,0,0,34.375,male
1242,1,1,0,0,0,1,0,63.3583,female
865,0,1,0,0,1,0,0,13.0,male
1001,0,1,1,0,1,1,0,13.0,male
1222,1,1,0,0,0,0,0,36.75,female
299,1,1,0,0,1,1,0,30.5,male
663,0,1,0,0,1,1,0,25.5875,male
998,0,0,1,0,1,0,0,7.8208,male
345,0,1,0,0,1,0,0,13.0,male
73,0,1,1,0,1,0,0,73.5,male
1297,0,1,1,0,1,1,0,13.8625,male
684,0,0,1,1,0,0,0,46.9,male
728,1,0,1,0,1,0,0,7.7375,female
1028,0,0,0,0,1,0,0,7.225,male
1243,0,1,0,0,1,0,0,10.5,male
171,0,1,0,0,1,1,0,33.5,male
314,0,0,0,0,1,0,0,7.8958,male
319,1,1,0,0,0,1,0,164.8667,female
262,1,0,1,1,0,0,1,31.3875,male
163,0,0,0,0,1,0,0,7.775,male
578,1,1,0,0,0,1,0,55.9,female
476,0,1,0,0,1,0,0,52.0,male
824,1,0,0,0,0,1,0,12.475,female
1025,0,0,0,0,0,0,0,6.4375,male
1059,0,0,1,0,0,0,0,34.375,male
414,0,1,0,0,1,0,0,0.0,male
1047,0,0,0,0,1,0,0,7.55,male
941,1,0,0,0,0,0,0,15.9,female
658,0,0,0,0,0,0,0,15.5,female
202,0,0,0,1,0,0,0,69.55,male
690,1,1,1,0,0,1,0,211.3375,female
966,1,1,0,0,1,1,0,211.5,female
362,0,1,0,0,0,0,0,27.7208,male
1168,0,1,0,0,1,0,0,10.5,male
1162,0,1,0,0,1,1,0,75.2417,male
84,0,1,0,0,1,0,0,47.1,male
60,0,0,1,1,0,0,1,46.9,male
504,0,0,0,0,1,0,0,9.5875,female
494,0,1,0,0,1,0,0,49.5042,male
766,1,1,0,0,0,1,0,77.9583,female
530,0,1,0,0,0,0,0,11.5,male
1141,1,0,0,0,0,0,0,14.4542,female
582,1,1,0,0,0,1,0,110.8833,female
572,1,1,0,0,0,1,0,51.4792,female
799,0,0,0,0,1,0,0,7.2292,male
1105,1,1,0,0,0,0,0,26.0,female
1280,0,0,1,0,1,0,0,7.75,male
1030,1,0,0,0,1,0,0,8.05,female
1204,0,0,0,0,1,0,0,7.575,male
943,0,1,0,0,1,0,0,15.0333,male
140,0,1,0,0,1,1,0,79.2,male
35,0,1,0,0,0,0,0,82.1708,male
1006,1,1,0,0,0,1,0,221.7792,female
850,1,1,0,0,0,1,0,89.1042,female
1140,1,1,0,0,0,0,0,26.0,female
1088,0,1,1,0,0,1,1,134.5,male
1188,1,1,1,0,0,0,0,41.5792,female
1048,1,1,0,0,1,1,0,221.7792,female
98,1,1,0,0,0,1,0,63.3583,male
402,0,0,0,0,1,0,0,8.05,male
278,0,1,0,0,1,0,0,0.0,male
27,0,0,0,0,1,0,0,7.225,male
493,0,1,0,0,1,1,0,30.5,male
227,1,1,1,0,1,0,0,10.5,male
329,1,0,0,0,0,0,0,20.525,female
682,1,1,0,0,1,1,0,76.7292,male
409,0,0,1,0,1,0,0,7.775,male
421,0,0,0,0,1,0,0,7.8958,male
96,0,0,0,0,1,0,0,8.05,male
1166,0,0,0,0,1,0,0,7.225,male
383,0,0,0,0,1,0,0,7.925,male
1239,1,0,0,0,1,0,0,7.2292,female
328,1,1,0,0,1,1,0,13.0,female
560,1,0,0,0,0,0,0,17.4,female
601,1,1,0,0,0,0,0,27.0,female
